19980407    8195 S27E52   033  0060 CSO  06   03 B
19980407    8196 N18W61   146  0010 BXO  04   03 B
19980407    8197 N32E48   037  0020 BXO  03   02 B
19980407    8198 S28E74   011  0060 HSX  01   01 A
19980407    8199 S26W02   087  0050 DAO  03   04 B
19980408    8190 S21W72   144  0040 HSX  01   01 A
19980408    8193 S23W12   084  0260 EKO  11   18 B
19980408    8194 S19E36   036  0280 DSO  09   07 B
19980408    8195 S27E38   034  0060 HSX  02   03 A
19980408    8196 N18W72   144  0010 AXX  01   01 A
19980408    8197 N32E34   038  0010 AXX  01   01 A
19980408    8198 S28E60   012  0170 DAO  07   10 BG
19980408    8199 S27W16   088  0110 DAO  05   10 B
19980409    8190 S22W86   144  0020 HSX  00   01 A
19980409    8193 S23W24   082  0240 EAO  12   20 B
19980409    8194 S18E24   034  0300 DHO  10   10 A
19980409    8195 S27E27   031  0020 CAO  06   06 B
19980409    8196 N18W91   149  0010 AXX  00   01 A
19980409    8197 N32E21   037  0010 BXO  05   02 B
19980409    8198 S28E49   009  0070 DAO  10   13 B
19980409    8199 S27W29   087  0100 DAO  06   13 B
19980409    8200 S21E06   052  0040 CRO  04   09 B
19980409    8201 N19E62   356  0010 AXX  01   02 A
19980409    8202 S21E56   002  0020 BXO  08   05 B
19980410    8193 S23W38   083  0210 ESO  11   10 B
19980410    8194 S17E10   035  0300 CHO  12   07 B
19980410    8195 S25E18   027  0020 CRO  10   13 B
19980410    8198 S28E36   009  0060 CAO  08   18 B
19980410    8199 S28W42   087  0100 DAO  07   06 B
19980410    8200 S22W07   052  0180 DSI  05   10 B
19980410    8202 S21E43   002  0020 BXO  11   11 B
19980411    8193 S23W52   084  0160 ESO  10   07 B
19980411    8194 S19W03   035  0280 EHO  14   10 B
19980411    8195 S27E05   027  0030 CRO  10   10 B
19980411    8198 S28E23   009  0030 BXO  07   13 B
19980411    8199 S27W54   086  0020 BXO  10   07 B
19980411    8200 S22W21   053  0120 DSO  08   08 B
19980411    8202 S21E29   003  0020 BXO  06   07 B
19980412    8193 S22W64   083  0140 ESO  11   03 B
19980412    8194 S19W17   036  0250 ESO  13   06 B
19980412    8195 S26W09   028  0010 BXO  07   05 B
19980412    8198 S28E09   009  0030 BXO  09   12 B
19980412    8199 S27W68   087  0020 BXO  06   03 B
19980412    8200 S21W34   053  0100 CSO  07   06 B
19980412    8202 S23E17   002  0020 BXO  08   06 B
19980413    8193 S21W76   082  0100 CSO  09   02 B
19980413    8194 S18W30   036  0210 ESO  11   04 B
19980413    8198 S28E00   006  0020 BXO  05   05 B
19980413    8199 S26W82   088  0000 AXX  01   01 A
19980413    8200 S22W46   052  0090 CSO  07   07 B
19980413    8202 S26E06   000  0010 BXO  04   03 B
19980414    8194 S19W42   035  0180 ESO  12   03 B
19980414    8195 S27W33   026  0010 AXX  02   02 A
19980414    8198 S29W17   010  0010 BXO  06   06 B
19980414    8200 S23W61   054  0040 CSO  05   02 B
19980414    8202 S26W07   360  0030 BXO  06   08 B
19980414    8203 N30W12   005  0010 AXX  02   02 A
19980415    8194 S17W56   035  0190 ESO  14   04 B
19980415    8198 S29W31   010  0010 BXO  04   04 B
19980415    8200 S21W71   050  0040 CSO  07   03 B
19980415    8202 S24W21   360  0040 CSO  07   09 B
19980415    8203 N31W24   003  0100 DAO  06   09 B
19980416    8194 S16W73   039  0140 HSX  02   01 A
19980416    8202 S23W33   359  0010 BXO  08   05 B
19980416    8203 N31W41   007  0050 DAO  08   09 B
19980416    8204 S15E12   314  0010 BXO  03   04 B
19980417    8194 S17W87   040  0060 HSX  02   01 A
19980417    8202 S24W47   360  0010 BXO  07   04 B
19980417    8203 N31W51   004  0030 CRO  06   05 B
19980417    8204 S16W02   315  0010 BXO  03   02 B
19980417    8205 N21E00   313  0020 BXO  04   08 B
19980418    8203 N33W59   359  0000 AXX  00   01 A
19980418    8205 N21W12   312  0050 DSO  06   07 B
19980419    8205 N21W25   312  0070 DSO  09   12 B
19980419    8206 N23E42   245  0020 BXO  03   03 B
19980420    8205 N21W40   313  0100 DSO  10   14 B
19980420    8206 N25E29   243  0000 AXX  00   01 A
19980421    8205 N21W53   313  0070 DSO  10   14 B
19980421    8206 N24E14   246  0000 AXX  00   01 A
19980421    8207 N00W09   269  0000 AXX  00   02 B
19980422    8205 N21W66   313  0130 EAO  11   09 B
19980422    8206 N24E01   246  0000 AXX  00   01 A
19980422    8208 N18E57   190  0000 AXX  00   01 A
19980423    8205 N22W79   313  0090 CSO  12   06 B
19980423    8208 N17E42   192  0000 AXX  00   01 A
19980423    8209 S22W06   240  0000 AXX  00   01 A
19980424    8208 N18E30   191  0000 AXX  00   01 A
19980424    8209 S24W16   237  0000 AXX  00   01 A
19980425    8208 N18E16   191  0000 BXO  01   02 B
19980425    8209 S24W34   241  0000 AXX  00   01 A
19980425    8210 S16E67   140  0230 DSO  08   05 B
19980425    8211 S22W12   219  0000 AXX  01   02 A
19980426    8210 S17E56   138  0200 CKO  09   09 B
19980426    8211 S22W26   220  0000 AXX  00   01 A
19980427    8210 S17E42   139  0200 CKO  08   09 BD
19980428    8210 S17E30   138  0300 CKO  08   15 BGD
19980428    8212 S30W65   233  0020 CRO  04   04 B
