20140208   11968 N11W72   108  0450 Ekc  12   34 BG
20140208   11971 S12W00   036  0070 Dao  08   12 B
20140208   11973 N05E24   012  0100 Dso  06   09 B
20140208   11974 S13E37   359  0200 Esi  12   33 BG
20140208   11975 S15W37   073  0040 Cso  05   06 B
20140208   11976 S15E78   318  0080 Dao  08   03 B
20140209   11967 S13W89   112  0630 Ekc  13   09 BGD
20140209   11968 N11W85   108  0390 Ekc  12   16 BG
20140209   11971 S12W15   038  0070 Cao  09   12 B
20140209   11973 N06E10   013  0130 Dso  08   13 B
20140209   11974 S12E23   360  0220 Esi  15   34 BG
20140209   11975 S15W50   073  0080 Dac  09   17 BG
20140209   11976 S15E63   320  0240 Eac  13   09 BG
20140210   11971 S11W30   040  0040 Cao  03   04 B
20140210   11973 N03W03   012  0100 Cao  06   12 B
20140210   11974 S13E12   356  0220 Fsi  17   25 BG
20140210   11975 S14W63   072  0110 Dai  10   09 B
20140210   11976 S14E53   315  0390 Eki  14   11 BG
20140210   11977 S11E77   291  0080 Hsx  05   01 A
20140211   11971 S12W46   041  0010 Axx  01   02 A
20140211   11973 N04W18   013  0050 Cao  07   13 B
20140211   11974 S12E01   354  0320 Fsc  16   42 BGD
20140211   11975 S14W76   072  0090 Eso  12   05 B
20140211   11976 S15E40   315  0310 Eki  15   10 BG
20140211   11977 S11E65   290  0270 Eao  12   04 B
20140211   11978 N05W39   035  0050 Dso  05   05 B
20140212   11971 S12W59   041  0030 Cso  03   03 B
20140212   11973 N04W32   015  0040 Cso  04   07 B
20140212   11974 S12W12   354  0460 Fkc  16   65 BGD
20140212   11975 S13W88   070  0050 Hsx  11   01 A
20140212   11976 S14E27   315  0340 Eko  14   13 BG
20140212   11977 S09E52   289  0290 Eko  14   09 B
20140212   11978 N06W51   034  0040 Dao  07   07 B
20140212   11979 N14W40   022  0010 Bxo  02   02 B
20140213   11971 S11W72   040  0040 Cso  03   03 B
20140213   11973 N16W43   012  0030 Cso  06   04 B
20140213   11974 S07W25   353  0780 Fkc  17   47 BGD
20140213   11976 S15E13   315  0370 Fki  16   15 BG
20140213   11977 S09E38   290  0460 Ekc  14   16 BG
20140213   11978 N07W66   034  0030 Dao  08   12 B
20140214   11971 S12W85   042  0030 Hsx  01   01 A
20140214   11973 N06W57   014  0020 Hax  01   01 A
20140214   11974 S12W37   354  0990 Fkc  16   89 BGD
20140214   11976 S15W03   320  0210 Dso  05   05 B
20140214   11977 S10E26   291  0410 Ekc  14   21 BG
20140214   11978 N06W79   036  0010 Bxo  06   05 B
20140214   11980 S14E06   311  0115 Dao  06   04 B
20140215   11973 N06W72   016  0010 Axx  01   01 A
20140215   11974 S12W52   356  0760 Fkc  16   47 BGD
20140215   11976 S15W17   321  0230 Dso  05   06 B
20140215   11977 S10E12   292  0320 Ekc  11   30 BG
20140215   11980 S14W06   310  0090 Hsx  03   01 A
20140216   11973 N06W87   018  0010 Axx  01   02 A
20140216   11974 S12W66   357  0760 Fkc  16   47 BGD
20140216   11976 S15W29   320  0230 Cso  05   06 B
20140216   11977 S10W02   293  0320 Ekc  11   30 BG
20140216   11980 S14W20   311  0090 Hax  03   02 A
20140217   11974 S13W80   357  0590 Fkc  16   11 BGD
20140217   11976 S14W44   320  0220 Hsx  03   01 A
20140217   11977 S10W16   293  0120 Eac  13   22 BG
20140217   11980 S13W33   310  0030 Hax  01   01 A
20140217   11981 S06E59   217  0050 Dao  03   02 B
20140217   11982 S11E70   206  0080 Dai  06   04 B
20140218   11974 S12W89   354  0480 Ekc  12   10 BG
20140218   11976 S15W56   320  0270 Cho  03   03 B
20140218   11977 S11W30   293  0110 Eai  13   25 B
20140218   11980 S13W46   309  0010 Hrx  01   01 A
20140218   11981 S06E45   218  0110 Dso  07   05 B
20140218   11982 S11E57   206  0280 Dki  06   07 BG
20140218   11983 S12E39   224  0010 Axx  00   01 A
20140218   11984 S17E47   217  0030 Cso  04   02 B
20140219   11976 S14W69   320  0180 Hax  04   05 A
20140219   11977 S10W41   291  0090 Cai  12   18 B
20140219   11981 S07E33   217  0140 Dai  08   13 B
20140219   11982 S11E44   205  0500 Dki  08   20 BG
20140219   11984 S16E32   218  0020 Cro  04   04 B
20140219   11985 N07W46   297  0010 Bxo  04   03 B
20140220   11976 S14W82   320  0130 Hax  04   03 A
20140220   11977 S10W57   294  0040 Cai  04   07 B
20140220   11981 S07E20   217  0190 Dsi  09   20 B
20140220   11982 S11E32   205  0490 Dkc  09   35 BG
20140220   11984 S16E19   218  0010 Bxo  02   02 B
20140220   11985 N06W57   295  0010 Axx  01   01 A
20140220   11986 N13E58   179  0010 Bxo  06   02 B
20140221   11976 S13W94   319  0060 Hax  02   01 A
20140221   11977 S09W71   296  0020 Cro  05   05 B
20140221   11981 S07E06   219  0190 Dai  10   19 B
20140221   11982 S10E19   206  0520 Dkc  10   38 BG
20140221   11984 S16E04   221  0010 Bxo  03   02 B
20140221   11985 N08W71   296  0010 Bxo  02   02 B
20140221   11986 N14E48   177  0030 Cao  12   04 B
20140221   11987 S03E71   154  0030 Hax  01   01 A
20140222   11977 S08W85   297  0010 Axx  01   01 A
20140222   11981 S07W07   219  0240 Eai  11   17 B
20140222   11982 S10E05   207  0560 Dkc  10   57 BG
20140222   11983 S14W17   229  0010 Bxo  03   03 B
20140222   11985 N07W86   298  0010 Bxo  05   02 B
20140222   11986 N13E34   178  0030 Cri  14   08 B
20140222   11987 S02E61   151  0150 Dao  07   08 BG
20140222   11988 S10E35   177  0010 Bxo  03   03 B
20140223   11981 S07W21   219  0220 Eai  12   27 B
20140223   11982 S10W09   207  0570 Ekc  12   69 BG
20140223   11983 S14W31   229  0010 Axx  01   02 A
20140223   11986 N13E21   177  0040 Cao  12   13 B
20140223   11987 S02E48   150  0240 Dao  09   13 BG
20140223   11989 N09E62   136  0030 Hax  02   01 A
20140224   11981 S07W34   218  0200 Eai  13   34 B
20140224   11982 S10W22   206  0450 Ekc  13   68 BG
20140224   11986 N13E07   176  0030 Cro  13   19 B
20140224   11987 S02E36   147  0230 Dai  10   15 BG
20140224   11989 N08E47   137  0090 Cao  11   07 B
20140224   11990 S15E77   108  0250 Hkx  03   02 A
20140225   11981 S08W47   219  0110 Eai  13   14 B
